,id,text,author_id,in_reply_to_user_id,author,referenced_tweets,username,reply_to_user_name
372,1222129663260221441,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Humans can at least control the economy. 😂 Humans have never, are not &amp; never will control weather,  global regional or local temperature or CLIMATE.
#climatebrawl #climatechange #CLIMATEHOAX",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222128727058001921"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T12:06:09.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222127065606107136""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian The data is not useless. It is imperfect, like all real experimental data, containing errors, noise, bias, missing data. In fact it is much more reliable than the economic data that governments and companies use to make massive decisions that affect our lives."",""author_id"":""1830846638""}]",Voice Of Insane,
373,1222128651241762818,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Actual atmosphere is not ""warming AGW CO2"".... #climatebrawl #climatechange #CLIMATEHOAX
Water vapour, water, different clouds are NOT even included.....",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222120476790620160"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":2,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:33:22.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222114734817906689""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian You are comparing an analogy (heating up of a car or a greenhouse, caused by glass) with the actual atmosphere (warming caused by CO2). Putting CO2 in a greenhouse is irrelevant."",""author_id"":""1830846638""}]",Voice Of Insane,
374,1222127685901660160,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Glass is a solid, CO2 is a gas. AND that difference matters. Especially the difference in a real greenhouse with extra CO2 1500 ppm AGW CO2 pumped and does not heat up the real greenhouse. Why does CO2 act differently? #climatebrawl #climatechange #CLIMATEHOAX",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222124114976088064"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:47:49.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222122865887268865""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian It's called an analogy.\nIn both cases, sunlight heats up surfaces which then re-emit at longer wavelengths (infra red).\nIn both cases, there is a material which transmits visible light and absorbs infra red light (glass or CO2).\nBut the path lengths differ..."",""author_id"":""1830846638""}]",Voice Of Insane,
375,1222127065606107136,@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Don't tell me about #climatechange #CLIMATEHOAX when you have functionally useless GLOBAL data. #climatebrawl https://t.co/cvIQeTqftY,867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222125574791028737"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:53:37.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222124213252886529""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian Please explain a better method that is practical and affordable, and can be backdated several decades?\nWe have to work with imperfect data, that is a fact of life."",""author_id"":""1830846638""}]",Voice Of Insane,
376,1222126428822626304,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian No, it's not.
BTW, Why the anomalies with the anomalies? #climatebrawl #climatechange #CLIMATEHOAX https://t.co/qcSA0LYt3V",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222121792229269508"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:38:35.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222120022857912322""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian All this information is on the site."",""author_id"":""1830846638""}]",Voice Of Insane,
377,1222123974588608512,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Ok. You did so hours ago, I'll succumb to your politeness😊Please, pretty please... Watch the video.... The paper in question &amp; what happened to it, is the video.... The author/scientist reads it... #climatebrawl #climatechange #CLIMATEHOAX",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222120051396005889"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:31:40.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}],""urls"":[{""start"":87,""end"":110,""url"":""https://t.co/FWsDZ4qcpv"",""expanded_url"":""https://twitter.com/AlexKnight68/status/1221842124125220864"",""display_url"":""twitter.com/AlexKnight68/s…""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""quoted"",""id"":""1221842124125220864""},{""type"":""replied_to"",""id"":""1222115624643702784""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian No, I actually said please.\nhttps://t.co/FWsDZ4qcpv"",""author_id"":""1830846638""}]",Voice Of Insane,
379,1222122865887268865,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Oh! The car &amp; real greenhouse use a solid/glass to increase temperature. AGW CO2 is useless on earth...
Why is it called ""GREENHOUSE effect"" if no SOLID is used in the atmosphere? THAT is what warms up a REAL greenhouse. #climatebrawl #climatechange #CLIMATEHOAX",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222120476790620160"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":2,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:33:22.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222114734817906689""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian You are comparing an analogy (heating up of a car or a greenhouse, caused by glass) with the actual atmosphere (warming caused by CO2). Putting CO2 in a greenhouse is irrelevant."",""author_id"":""1830846638""}]",Voice Of Insane,
380,1222122199911477248,@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian The data must be accepted as correct? NASA says it is useless. I must actually drive to the Reykjavik temperature station to find out what the actual temperature is.... Its very hot under a highway... #climatebrawl #climatechange #CLIMATEHOAX https://t.co/GRzeotSs37,867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222120859759992833"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:34:53.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}],""urls"":[{""start"":171,""end"":194,""url"":""https://t.co/k6D1pNdV4K"",""expanded_url"":""http://berkeleyearth.org/"",""display_url"":""berkeleyearth.org""}],""annotations"":[{""start"":152,""end"":164,""probability"":0.2324,""type"":""Other"",""normalized_text"":""Berkely Earth""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222118616549728256""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian As I said, the raw data are available, so you can calculate your own baselines. This is what Berkely Earth did.\nhttps://t.co/k6D1pNdV4K"",""author_id"":""1830846638""}]",Voice Of Insane,
381,1222120998369099776,@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Meaningless #climatechange #CLIMATEHOAX #climatebrawl https://t.co/jRMgxF8ARP,867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222116846226362370"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":3,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T11:18:56.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}],""urls"":[{""start"":294,""end"":317,""url"":""https://t.co/xo8UDQ4G3x"",""expanded_url"":""https://crudata.uea.ac.uk/~timo/diag/tempts_decadesmooth_global.png"",""display_url"":""crudata.uea.ac.uk/~timo/diag/tem…""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222115021238521859""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian You do realise that \""anomaly\"" just means \""with a baseline value subtracted\"" don't you?\nThat you have to have the temperature measurements to *calculate* the anomaly?\nThat you can download the temperature data for yourself if you want?\nhttps://t.co/xo8UDQ4G3x"",""author_id"":""1830846638""}]",Voice Of Insane,
382,1222117258903924736,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian Actual? Where are these thermometers? Why do these measurements need to be GUESSES, adjustments, reconstructions, manipulations &amp; fabrications? #climatebrawl #climatechange #CLIMATEHOAX https://t.co/O5X6DsFFjO",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222108612954415105"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T10:46:13.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222106838482804738""}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian Actual temperatures measured by actual thermometers over many decades in many locations around the world."",""author_id"":""1830846638""}]",Voice Of Insane,
383,1222106838482804738,"@AlexKnight68 @CalvinManneson @SiphoKings @mailandguardian #climatechange temperature is not actual SATs, but computer derived anomalies.
#climatebrawl #ClimateHoax https://t.co/P3mFvcDqq7",867077976210513920,1830846638.0,"{""name"":""Voice Of Insane"",""protected"":false,""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14},""location"":""Always QUESTION "",""created_at"":""2017-05-23T18:01:13.000Z"",""url"":"""",""description"":""Fossil fueled FUTURE..."",""username"":""insane_voice"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""id"":""867077976210513920"",""verified"":false,""pinned_tweet_id"":""1529816483433357312""}","[{""type"":""replied_to"",""id"":""1222098548398985217"",""lang"":""en"",""public_metrics"":{""retweet_count"":0,""reply_count"":3,""like_count"":0,""quote_count"":0},""created_at"":""2020-01-28T10:06:14.000Z"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":29,""username"":""CalvinManneson"",""id"":""821965882083708929""},{""start"":30,""end"":41,""username"":""SiphoKings"",""id"":""41131859""},{""start"":42,""end"":58,""username"":""mailandguardian"",""id"":""16735210""}]},""possibly_sensitive"":false,""source"":""TweetDeck"",""conversation_id"":""1221733689119444992"",""in_reply_to_user_id"":""867077976210513920"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222060182609584128""}],""context_annotations"":[{""domain"":{""id"":""30"",""name"":""Entities [Entity Service]"",""description"":""Entity Service top level domain, every item that is in Entity Service should be in this domain""},""entity"":{""id"":""854692455005921281"",""name"":""Science"",""description"":""Science""}},{""domain"":{""id"":""30"",""name"":""Entities [Entity Service]"",""description"":""Entity Service top level domain, every item that is in Entity Service should be in this domain""},""entity"":{""id"":""847899195566510080"",""name"":""Physics"",""description"":""Physics""}}],""reply_settings"":""everyone"",""text"":""@insane_voice @CalvinManneson @SiphoKings @mailandguardian Err, no.\n1. Independent temperature records going back decades\n2. Independent CO2 measurements going back decades\n3. The absorption spectrum of CO2, known since the 19th century\n4. The physics of thermal radiation, ditto\nNone of the above need models."",""author_id"":""1830846638""}]",Voice Of Insane,
